"source","job_id","title","company","location","job_url","modality","seniority","is_remote","salary","post_date","tags","description_snippet","fetched_at"
"LinkedIn","4453115092","Agentic AI Engineer (d/m/f)","ams OSRAM","Carnaxide, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/agentic-ai-engineer-d-m-f-at-ams-osram-4453115092","On-site / Hybrid","Entry-Level / Early Career",False,"","5 days ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4435436545","Creative Tech | Edge AI Engineer","Devoteam","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/creative-tech-edge-ai-engineer-at-devoteam-4435436545","On-site / Hybrid","Entry-Level / Early Career",False,"","3 days ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4452274600","Analytics - AI Engineer","CGD","Lisbon, Portugal","https://pt.linkedin.com/jobs/view/analytics-ai-engineer-at-cgd-4452274600","On-site / Hybrid","Entry-Level / Early Career",False,"","6 hours ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4448395739","Machine Learning Engineer","blueOASIS","Torres Vedras, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineer-at-blueoasis-4448395739","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4451077373","Machine Learning Engineer","Fyld","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineer-at-fyld-4451077373","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4452374377","Applied AI Engineer","BJAK","Portugal","https://pt.linkedin.com/jobs/view/applied-ai-engineer-at-bjak-4452374377","On-site / Hybrid","Entry-Level / Early Career",False,"","5 days ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4442419760","AI Engineer","Umain Works","Santa Maria da Feira, Aveiro, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-at-umain-works-4442419760","On-site / Hybrid","Entry-Level / Early Career",False,"","1 month ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4442617514","Machine Learning Engineer","Capgemini Engineering","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineer-at-capgemini-engineering-4442617514","On-site / Hybrid","Entry-Level / Early Career",False,"","3 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4367482334","AI Engineer & Data Science (Microsoft / Azure OpenAI, Azure AI Studio)","Capgemini","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/ai-engineer-data-science-microsoft-azure-openai-azure-ai-studio-at-capgemini-4367482334","On-site / Hybrid","Entry-Level / Early Career",False,"","6 months ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4274829317","Data Scientist","Inetum","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-at-inetum-4274829317","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:33"
